[-2.182,-1.1512,1.9340,-0.8154,0.9730,-0.0065,1.8932,-1.1341,1.8966,-0.7540,1.9410,0.2056]
[-2.182,-1.3021,1.8322,-0.5627,0.9730,-0.0065,1.8932,-1.2798,1.7942,-0.5058,1.9410,0.2056]
[-2.182,-1.3961,1.6727,-0.3093,0.9730,-0.0065,1.8932,-1.3700,1.6341,-0.2554,1.9410,0.2056]
[-2.182,-1.4313,1.4556,-0.0569,0.9730,-0.0065,1.8932,-1.4025,1.4151,-0.0040,1.9410,0.2056]
[-1.984,-1.4956,1.5274,-0.0610,1.1711,-0.0135,1.6706,-1.5101,1.5360,-0.0178,1.7184,0.2037]
[-1.758,-1.5071,1.5397,-0.0600,1.3966,-0.0201,1.4231,-1.5682,1.5961,-0.0199,1.4709,0.2017]
[-1.526,-1.4641,1.4927,-0.0557,1.6285,-0.0264,1.1770,-1.5681,1.5960,-0.0194,1.2249,0.1997]
[-1.758,-1.5071,1.5397,-0.0600,1.3966,-0.0201,1.4231,-1.5682,1.5961,-0.0199,1.4709,0.2017]
[-1.984,-1.4956,1.5274,-0.0610,1.1711,-0.0135,1.6706,-1.5101,1.5360,-0.0178,1.7184,0.2037]
[-2.182,-1.4313,1.4556,-0.0569,0.9730,-0.0065,1.8932,-1.4025,1.4151,-0.0040,1.9410,0.2056]
[-2.182,-1.3961,1.6727,-0.3093,0.9730,-0.0065,1.8932,-1.3700,1.6341,-0.2554,1.9410,0.2056]
[-2.182,-1.3021,1.8322,-0.5627,0.9730,-0.0065,1.8932,-1.2798,1.7942,-0.5058,1.9410,0.2056]
[-2.182,-1.1512,1.9340,-0.8154,0.9730,-0.0065,1.8932,-1.1341,1.8966,-0.7540,1.9410,0.2056]
